config,tf,train_trades,train_pf,train_sharpe,train_max_dd,train_wr,train_pnl,train_avg_trade,gate_train,valid_trades,valid_pf,valid_sharpe,valid_max_dd,valid_wr,valid_pnl,valid_avg_trade,promoted
C5_time_stop,5min,604,0.8656640709443835,-0.7229511866465291,-2057.5632772984795,0.22019867549668873,-1320.8670265075073,-2.1868659379263367,False,,,,,,,,False
C0_zscore_0.5,5min,632,0.8008527632755821,-1.4121895752911435,-2521.82891858459,0.24841772151898733,-1992.534772432703,-3.1527448930897197,False,,,,,,,,False
C0_zscore_0.5,15min,180,0.7663789534031916,-1.5034337028455516,-1038.400000000002,0.18333333333333332,-733.4999999999998,-4.074999999999998,False,,,,,,,,False
C1_zscore_1.0,15min,180,0.7076153772653441,-2.0114272421515977,-1130.900000000003,0.18333333333333332,-917.9999999999999,-5.1,False,,,,,,,,False
C1_zscore_1.0,5min,634,0.7027154813457488,-2.3543882097685764,-3333.428918584584,0.27287066246056785,-2889.734772432703,-4.557941281439595,False,,,,,,,,False
C7_hybrid,5min,634,0.6957538745243195,-2.427129608164794,-3355.4289185845787,0.27287066246056785,-2945.234772432703,-4.645480713616251,False,,,,,,,,False
C2_zscore_1.5,5min,644,0.6839750535688403,-2.6478588664567013,-3313.168373414019,0.3167701863354037,-2928.4660347246668,-4.5473075073364395,False,,,,,,,,False
C3_fixed_0.75std,15min,183,0.6678118702979638,-2.7399576311220963,-1123.0196095558067,0.24043715846994534,-997.361640617394,-5.450063609931115,False,,,,,,,,False
C2_zscore_1.5,15min,180,0.6502854143428913,-2.799775005971871,-1233.4000000000028,0.2111111111111111,-1066.0,-5.9222222222222225,False,,,,,,,,False
C5_time_stop,15min,180,0.6400505671723387,-2.969701414850218,-1170.400000000002,0.23333333333333334,-1053.5,-5.852777777777778,False,,,,,,,,False
C7_hybrid,15min,180,0.6197211972119724,-3.226495869766632,-1229.9000000000015,0.23333333333333334,-1113.0,-6.183333333333334,False,,,,,,,,False
C3_fixed_0.75std,5min,656,0.5865361547569318,-3.938650023252893,-3748.298325204537,0.3551829268292683,-3719.2019135979226,-5.669515112191955,False,,,,,,,,False
C4_fixed_0.40std,5min,679,0.45054550747006833,-5.94723765405287,-4505.779718451344,0.4374079528718704,-4489.752852167274,-6.612301696859019,False,,,,,,,,False
C4_fixed_0.40std,15min,184,0.404070464722246,-6.934139083348945,-1780.2937750009046,0.2608695652173913,-1750.6026028319302,-9.514144580608317,False,,,,,,,,False
C6_trail_1.0std,15min,183,0.3408548367441694,-7.263402266276929,-2080.4669015376767,0.18032786885245902,-2024.244997333397,-11.061448072860092,False,,,,,,,,False
C6_trail_1.0std,5min,666,0.30357831980288336,-8.186943847363276,-6654.915182393584,0.22972972972972974,-6610.7780388419715,-9.926093151414372,False,,,,,,,,False
